job_index,split_index,split_id,model_name,feature_mode,status,elapsed_seconds,worker_pid,worker_log,summary_json,error
129,16,split_017,lr,all,succeeded,213.21204125136137,3101767,output/all_satisfying_primordia_splits/split_017/models/all/lr/worker.log,output/all_satisfying_primordia_splits/split_017/models/all/lr/training_summary.json,
130,16,split_017,svm,all,succeeded,174.4520946163684,3101798,output/all_satisfying_primordia_splits/split_017/models/all/svm/worker.log,output/all_satisfying_primordia_splits/split_017/models/all/svm/training_summary.json,
131,16,split_017,xgboost,all,succeeded,203.03419758938253,3101789,output/all_satisfying_primordia_splits/split_017/models/all/xgboost/worker.log,output/all_satisfying_primordia_splits/split_017/models/all/xgboost/training_summary.json,
132,16,split_017,lightgbm,all,succeeded,240.204035859555,3101768,output/all_satisfying_primordia_splits/split_017/models/all/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_017/models/all/lightgbm/training_summary.json,
133,16,split_017,lr,selected4,succeeded,216.45067855715752,3101780,output/all_satisfying_primordia_splits/split_017/models/selected4/lr/worker.log,output/all_satisfying_primordia_splits/split_017/models/selected4/lr/training_summary.json,
134,16,split_017,svm,selected4,succeeded,174.69130478799343,3101784,output/all_satisfying_primordia_splits/split_017/models/selected4/svm/worker.log,output/all_satisfying_primordia_splits/split_017/models/selected4/svm/training_summary.json,
135,16,split_017,xgboost,selected4,succeeded,193.34971969760954,3101769,output/all_satisfying_primordia_splits/split_017/models/selected4/xgboost/worker.log,output/all_satisfying_primordia_splits/split_017/models/selected4/xgboost/training_summary.json,
136,16,split_017,lightgbm,selected4,succeeded,202.3383842073381,3101776,output/all_satisfying_primordia_splits/split_017/models/selected4/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_017/models/selected4/lightgbm/training_summary.json,
137,17,split_018,lr,all,succeeded,210.38976092264056,3101791,output/all_satisfying_primordia_splits/split_018/models/all/lr/worker.log,output/all_satisfying_primordia_splits/split_018/models/all/lr/training_summary.json,
138,17,split_018,svm,all,succeeded,175.36422009207308,3101797,output/all_satisfying_primordia_splits/split_018/models/all/svm/worker.log,output/all_satisfying_primordia_splits/split_018/models/all/svm/training_summary.json,
139,17,split_018,xgboost,all,succeeded,208.25011087022722,3101777,output/all_satisfying_primordia_splits/split_018/models/all/xgboost/worker.log,output/all_satisfying_primordia_splits/split_018/models/all/xgboost/training_summary.json,
140,17,split_018,lightgbm,all,succeeded,241.75984489172697,3101763,output/all_satisfying_primordia_splits/split_018/models/all/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_018/models/all/lightgbm/training_summary.json,
141,17,split_018,lr,selected4,succeeded,217.98386537656188,3101796,output/all_satisfying_primordia_splits/split_018/models/selected4/lr/worker.log,output/all_satisfying_primordia_splits/split_018/models/selected4/lr/training_summary.json,
142,17,split_018,svm,selected4,succeeded,176.04934284836054,3101792,output/all_satisfying_primordia_splits/split_018/models/selected4/svm/worker.log,output/all_satisfying_primordia_splits/split_018/models/selected4/svm/training_summary.json,
143,17,split_018,xgboost,selected4,succeeded,197.2952541168779,3101773,output/all_satisfying_primordia_splits/split_018/models/selected4/xgboost/worker.log,output/all_satisfying_primordia_splits/split_018/models/selected4/xgboost/training_summary.json,
144,17,split_018,lightgbm,selected4,succeeded,206.08872247301042,3101800,output/all_satisfying_primordia_splits/split_018/models/selected4/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_018/models/selected4/lightgbm/training_summary.json,
145,18,split_019,lr,all,succeeded,203.8727721311152,3101799,output/all_satisfying_primordia_splits/split_019/models/all/lr/worker.log,output/all_satisfying_primordia_splits/split_019/models/all/lr/training_summary.json,
146,18,split_019,svm,all,succeeded,168.94319555349648,3101795,output/all_satisfying_primordia_splits/split_019/models/all/svm/worker.log,output/all_satisfying_primordia_splits/split_019/models/all/svm/training_summary.json,
147,18,split_019,xgboost,all,succeeded,203.01074819080532,3101786,output/all_satisfying_primordia_splits/split_019/models/all/xgboost/worker.log,output/all_satisfying_primordia_splits/split_019/models/all/xgboost/training_summary.json,
